CIUDAD;NOMBRE OFICINA;DIRECCIÓN;INDICATIVO;Tel 1;Tel 2;Tel 3;Tel 4;Tel 5;HORARIO LUNES A VIERNES  Y FIN DE MES;HORARIO ADICIONAL LUNES A VIERNES;SÁBADO;zipcode;lat;lon;Num_Eventos
ARMENIA;BBVA CARRERA 13 ARMENIA;CARRERA 13 NO. 16 - 53/55;6;7368903;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,533936;-75,6708967;0
ARMENIA;CENTRO COMERCIAL CALIMA ARMENIA;AVENIDA CENTENARIO No. 3 -180 LOCAL - 1-21;6;7368905;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;4,5419107;-75,6592967;0
BARBOSA;BARBOSA;CARRERA 9 No. 8-52;7;7486173;7485464;7482480;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;5,9308856;-73,6177839;0
BARRANCABERMEJA;SAN SILVESTRE;CARRERA 19 CON AVENIDA 58A LOCAL 140-144;7;6855035;NA;NA;NA;NA;09:00 a.m. a 04:30 p.m.;Lunes a viernes::  05:30 p.m. a 07:00 p.m.;9:00 a.m. a 1:00 p.m.;NA;7,067286;-73,857952;0
BARRANCABERMEJA;BARRANCABERMEJA;TRANVERSAL 6 No. 6B - 99 EDIFICIO LA TORA;7;6855036;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;Lunes a viernes: 5:30 p.m. a 7:00 p.m.;9:00 a.m a 1:00 p.m;NA;7,0604034;-73,8696137;5
BARRANCABERMEJA;EL PARQUE;Calle 49 No. 16-69;7;6855037;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;7,0595147;-73,8608623;0
BARRANCAS;BARRANCAS;CALLE 9 No. 6-60;5;7748116;7748078;7748271;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;10,9551137;-72,7874004;0
BARRANQUILLA;ALTO PRADO;CARRERA 51 B- No. 76-137;5;3770125;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;80020;11,002099;-74,8076228;8
BARRANQUILLA;BANCA PERSONAL BARRANQUILLA;CALLE 82 No. 55-55 Local 3-06;5;3770145;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;NA;11,0083221;-74,8119313;0
BARRANQUILLA;CALLE 76;CARRERA 50 No. 76-04;5;3770126;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;80020;11,0004865;-74,8082585;8
BARRANQUILLA;CALLE 84;CARRERA 51B No. 85 ESQUINA, EDIFICIO TORRES DE CALÁBRIA LOCAL 109.;5;3770127;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;80020;11,0031222;-74,810525;8
BARRANQUILLA;CARRERA 43;CARRERA 43 No. 76-85;5;3770142;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;80020;10,9944496;-74,8123156;0
BARRANQUILLA;CENTRO COMERCIAL BUENAVISTA;"CALLE 99 ENTRE CARRRERA 52 Y 53 CENTRO COMERCIAL
BUENAVISTA II LOCALES 402, 403 Y 404";5;3770151;NA;NA;NA;NA;8:30 a.m a 12:00 m y 02:00 p.m a 04:30 p.m.;NA;NA;80020;11,0051329;-74,8099307;8
BARRANQUILLA;EL PRADO;CARRERA 52 No. 74-28;5;3770129;NA;NA;NA;NA;8:00 a.m a 11:30 a.m - 2:00 p.m a  4:30 p.m;NA;NA;80020;10,999465;-74,8045045;0
