"";"cod_Cajero";"Vecinos_Raw";"BBVA";"Bancolombia";"Davivienda";"ATH";"Caja_Social";"Citibank";"Colpatria";"Servibanca";"Itau";"Agrario";"Falabella";"Otros"
"55";435;"Cajero Banco de Bogotá|Banco Popular|Servibanca|Bank of Bogota|Bancolombia Cajero|Cajero ATH Armenia Calle 22 - Banco AV Villas|ATH Cajero Automàtico|Cajero ATH Coofiquindio I - Banco de Bogotá|ATH ATM Armenia Office - Banco de Occidente|Bancolombia Cajero|Bancolombia Cajero|ATH ATM Machine|Cajero ATH Ara Cc Santander Armenia I - Banco de Bogotá|Cajero ATH Tecnologico Armenia III - Banco Popular|Bancolombia Cajero|Cajero Automático Banco Colpatria|Servibanca";0;4;0;10;0;0;1;2;0;0;0;0
"56";328;"Bancolombia Cajero|Cajero ATH Coofiquindio I - Banco de Bogotá|Bancolombia Corresponsal Bancario|ATH Cajero Automàtico|Servibanca|Bancolombia Corresponsal Bancario|Cajero Banco de Bogotá|ATH ATM Armenia Office - Banco de Occidente|Cajero Automático Banco Caja Social|Cajero ATH Ara Cc Santander Armenia I - Banco de Bogotá|Banco Popular|Banco Agrario|Bancolombia Cajero|ATH ATM Machine|Bank of Bogota|Bancolombia Cajero";0;5;0;8;1;0;0;1;0;1;0;0
"57";707;"Bancolombia Cajero|Cajero Davivienda Exito Principal|Bank of Bogota|Cajero ATH Pereira Plaza - Banco Popular|Bancolombia Corresponsal Bancario|Banco de Occidente|Cajero Automático Banco Caja Social|Cajero Automático Banco Caja Social|Cajero ATH - Banco AV Villas|Servibanca|Servibanca|Cajero ATH Exito Pereira I - Banco de Bogotá|Cajero Automático Davivienda|Banco AV Villas|Cajero ATH Ara LeVIs Pereira I - Banco de Bogotá|Bancolombia Cajero|Cajero Automatico Davivienda|Cajero ATH - Banco de Bogotá|Cajero Banco Caja Social";0;3;3;8;3;0;0;2;0;0;0;0
"58";1063;"Cajero ATH Oficina Autopista 184 I - Banco de Bogotá|Cajero ATH Ofi C.C. Santa Fe II - Banco AV Villas|Bancolombia Cajero|Cajero ATH Almacen Romi Plaza Norte I - Banco de Bogotá|Cajero Automático Banco de Bogota|Cajero Automático Red Aval|Cajero ATH Oficina Centro Comercial Santafe II - Banco de Bogotá|Bancolombia Cajero|Cajero Av Villas Panamá|Cajero SERVIBANCA|Cajero ATH Centro Comercial Santafe 2 - Banco de Occidente|Bancolombia Cajero|Cajero ATH Oficina Centro Comercial Santafe III - Banco de Bogotá|Cajero ATH Cencosud Santafe I - Banco de Bogotá|Cajero Servibanca|Cajero Automático Banco Caja Social|Bancolombia Cajero";0;4;0;10;1;0;0;2;0;0;0;0
"59";1539;"Bancolombia Cajero|Cajero Davivienda|Cajero ATH Coonfie Neiva I - Banco de Bogotá|Cajero Automático Red Aval|Cajero Automático Banco Colpatria|Bancolombia Cajero|Bancolombia Cajero|Cajero Banco Caja Social|Bancolombia Cajero|ATM Davivienda|Cajero ATH Exito Neiva La Toma I - Banco de Bogotá|Bancolombia Corresponsal Bancario|Bancolombia Cajero|Davivienda Neiva Centro.|Cajero ATH Oficina Neiva Calle Septima II - Banco de Bogotá|COLPATRIA Scotiabank|Bancolombia Cajero Multifuncional";0;7;3;4;1;0;2;0;0;0;0;0
"60";144;"Cajero ATH|Banco Popular|Cajero ATH Oficina Alameda - Banco de Occidente|Davivienda Alameda Cali.|Bancolombia Cajero|Cajero ATH Alameda - Banco AV Villas|Cajero ATH Oficina Cali Alameda I - Banco de Bogotá|Banco Popular ATM|Cajero Davivienda Alameda|Cajero Servibanca Texaco Roosvelt|Cajero Automático Red Aval|Bancolombia Sucursal|Cajero ATH Oficina San Fernando - Banco de Occidente|Cajero ATH Olimpica Galeria Alameda - Banco de Occidente|Bancolombia Roosevelt|Cajero Automático Red Aval|Cajero Automático Red Aval|BANCOLOMBIA AVENUE ROOSVELT";0;4;2;11;0;0;0;1;0;0;0;0
"61";188;"Bancolombia Cajero|Cajero Davivienda|Davivienda|Cajero Banco de Bogotá Avenida Cero|Banco de Bogotá|Bancolombia Cajero|CAJERO ATM BANCOLOMBIA|Cajero Automático Red Aval|Cajero Automático Red Aval|Bancolombia Cajero|Cajero Banco Corpbanca Ventura Plaza|Bancolombia Cajero|Cajero Automático Banco Colpatria|Bancolombia Cajero|Bancolombia Cajero|Cajero Automático Red Aval|Cajero Automático Red Aval|Bancolombia";0;8;2;6;0;0;1;0;0;0;0;1
"62";900;"ATM Servibanca Compensate Salitre Greco|Cajero Davivienda Compensar Cl 26|Davivienda Secretaría de Educación|ATM Servibanca|Ath Banco Popular|Cajero ATH Centro De Pagos Gran Estacion I - Banco de Bogotá|Cajero Bancolombia|Davivienda ATMs|Bancolombia Cajero|Cajero Colpatria La Gran Estación|Athena Bitcoin ATM|cajeros automáticos banco de bogota|Cajero Citibank|Cajero Davivienda Gran Estación|Banco Popular ATM|Cajero Automático Banco Caja Social|Cajero Automático Red Aval|Cajero Automático Red Aval";0;2;4;7;1;1;1;2;0;0;0;0
"63";158;"servibanca|Bancolombia Cajero|CAJERO ATH|Cajero Davivienda Cl54|Cajero Servibanca La Candelaria|Cajeros Bancolombia|Bancolombia Cajero|cajero banco popular|Bancolombia Cajero|CorpBanca Bank ATM|Cajero ATH La Playa Medellin - Banco AV Villas|Cajero ATH Olimpica Colombia I - Banco de Bogotá|Cajero ATH Estación Metro Parque Berrio Sur I - Banco de Bogotá|Bancolombia Cajero|Bancolombia Cajero|Cajero ATH|banco popular CAJERO automático";0;6;1;7;0;0;0;2;0;0;0;1
"64";884;"servibanca|Bancolombia Cajero|CAJERO ATH|Cajero Davivienda Cl54|Cajero Servibanca La Candelaria|Cajeros Bancolombia|Bancolombia Cajero|cajero banco popular|Bancolombia Cajero|CorpBanca Bank ATM|Cajero ATH La Playa Medellin - Banco AV Villas|Cajero ATH Olimpica Colombia I - Banco de Bogotá|Cajero ATH Estación Metro Parque Berrio Sur I - Banco de Bogotá|Bancolombia Cajero|Bancolombia Cajero|Cajero ATH|banco popular CAJERO automático";0;6;1;7;0;0;0;2;0;0;0;1
"65";971;"Cajero Servibanca|Cajero Davivienda|Cajero ATH Estacion Cota (Plaza Imperial) - Banco Popular|Bancolombia Corresponsal Bancario|Cajero Banco de Bogota|Bancolombia Cajero|Cajero ATH Oficina Cota I - Banco de Bogotá|Bancolombia Corresponsal Bancario|Cajero Automático Banco de Bogota|BANCOLOMBIA COTA|Davivienda Cota";0;4;2;4;0;0;0;1;0;0;0;0
"66";1032;"Cajero ATH Olimpica Pereira - Banco de Occidente|Bancolombia Corresponsal Bancario|Cajero Automático Banco Caja Social|Cajero Automático Red Aval|Bancolombia Cajero|Cajero ATH Treinta De Agosto (Pereira) - Banco Popular|Cajero Banco de Occidente Red Aval|Bancolombia Corresponsal Bancario|Bank of Bogota|Cajero Automático Red Aval";0;3;0;6;1;0;0;0;0;0;0;0
