"CIUDAD";"NOMBRE OFICINA";"DIRECCIÓN";"lat";"lon";"Num_Eventos"
"SANTA MARTA";"BAHÍA";"CARRERA4 No. 23-12";11,239327;-74,212234;6
"AGUACHICA";"AGUACHICA";"CALLE 5 no. 21 - 41";8,3096972;-73,61348;5
"BARRANCABERMEJA";"BARRANCABERMEJA";"TRANVERSAL 6 No. 6B - 99 EDIFICIO LA TORA";7,0604034;-73,8696137;5
"BELLO";"BELLO";"CALLE 50 No. 49-21";6,3346229;-75,5580625;5
"BOGOTA";"VENECIA";"DIAGONAL 46A SUR No. 51-24 SUR";4,5934173;-74,1384096;5
"CARTAGENA";"CARTAGENA";"CALLE 32 No. 4-65 PLAZA LA ADUANA";10,4221584;-75,550321;5
"CARTAGENA";"LA MATUNA";"AVENIDA VENEZUELA No. 9-79";10,4249446;-75,5468742;5
"CARTAGENA";"PARQUE CENTENARIO";"AVENIDA DANIEL LEMETRE No. 8A-65";10,4229577;-75,5482015;5
"BOGOTA";"CONGRESO DE LA REPÚBLICA";"CARRERA 7 No.- 8-68";4,5961439;-74,0763953;4
"BOGOTA";"FONTIBON";"CALLE 17A No. 99-73";4,6731237;-74,1453014;4
"BOGOTA";"LAS AGUAS";"AVENIDAJIMENEZ No. 4-16";4,6009965;-74,0704313;4
"BOGOTA";"BOGOTA";"CARRERA 7 No. 16-36 PISO 1";4,6025523;-74,0724592;4
"BOGOTA";"COLSEGUROS";"CALLE 17 NO 9-20 INT 101 - 201";4,60479;-74,074187;4
"BOGOTA";"LAS NIEVES";"CARRERA 7 No. 19- 22";4,6054927;-74,0713561;4
"ENVIGADO";"ENVIGADO";"CARRERA 42 No. 36 SUR-38";6,1706617;-75,5867522;4
"LORICA";"LORICA";"CARRERA . 17 No. 1BIS-05 PLA- CONCORDIA";9,2376398;-75,8136245;4
"MEDELLÍN";"CALASANZ";"CARRERA 80 No. 49F - 13";6,2613753;-75,5973704;4
"RIOHACHA";"RIOHACHA";"CARRERA 6A No. 10-61";11,5384151;-72,9167838;4
"RIOHACHA";"RIOHACHA CENTRO";"CALLE 2A No. 7-54";11,5384151;-72,9167838;4
"BARRANQUILLA";"SAN FRANCISCO";"CARRERA 38 No. 71-54";10,9851911;-74,8102429;3
"BOGOTA";"BOSA";"Calle 65 Sur No. 79C- 05";4,6063071;-74,1842516;3
"BOGOTA";"CENTRO ANDINO";"CARRERA 11 No. 82-51 LOCAL 109";4,6668663;-74,052685;3
"BOGOTA";"PREMIUM BOGOTÁ";"CARRERA 11 No. 82-01 OFICINA 602";4,6662181;-74,0530077;3
"BOGOTA";"CALLE 80";"AVENIDA CALLE 81 NO 69-14";4,6665622;-74,0557828;3
"BOGOTA";"PARQUE BAVIERA";"CARRERA 13 No. 32-65";4,6200908;-74,0687389;3
"CALI";"HOLGUINES TRADE CENTER";"CARRERA 100 No. 11-60 CENTRO COMERCIAL HOLGUINES T. C. LOCAL 170";3,37184;-76,53924;3
"CALI";"UNICENTRO CALI";"CARRERA 100 No. 5-169 Local 215 CENTRO COMERCIAL UNICENTRO";3,3737606;-76,5390353;3
"MEDELLÍN";"BELEN";"CALLE 31 No. 75-50";6,232858;-75,5958422;3
"NEIVA";"NEIVA";"CARRERA . 5 No. 6-44 EDIF. METROPOLIT.TORRE A PISO 2";2,9344837;-75,2809001;3
"VALLEDUPAR";"CENTRO COMERCIAL MAYALES PLAZA";"CALLE 31 No. 6A - 133 LOCAL 201 - 202";10,4564296;-73,2425447;3
"VILLAVICENCIO";"VILLAVICENCIO";"CALLE 38 No.31-74";4,1514814;-73,6373983;3
"VILLAVICENCIO";"VILLAVICENCIO CENTRO";"CARRERA 31 No. 38-18";4,1518971;-73,6369397;3
"BARRANQUILLA";"MURILLO";"CARRERA 45 Nº 42-63";10,9857787;-74,7831929;2
"BOGOTA";"RICAURTE";"CALLE 13 No. 27-05";4,612136;-74,0893156;2
"BOGOTA";"CENTRO SUBA";"CALLE 140 No. 91-19 LOCAL 2-109";4,737951;-74,085106;2
"BOGOTA";"NIZA";"AVENIDA SUBA No. 127 - 35";4,7117483;-74,0723689;2
"BOGOTA";"GALERIAS";"CARRERA 21 No. 53-14";4,6415815;-74,0719517;2
"BOGOTA";"GRAN AMÉRICA";"CARRERA 33 No. 25D - 44 TORRE 6 LOCALES 105 Y 106";4,6297488;-74,0835963;2
"BUCARAMANGA";"AGENCIA CENTRO COMERCIAL CACIQUE";"TRANSVERSAL 93 NO. 34-99 LOCAL 406 CENTRO COMERCIAL CACIQUE";7,0996603;-73,1073641;2
"BUCARAMANGA";"BOLARQUÍ";"Carrera 29 Numero 54 -78 Local 1";7,1112229;-73,1137583;2
"BUCARAMANGA";"CABECERA DEL LLANO";"CALLE 52 No. 33-42";7,1131904;-73,1100661;2
"BUCARAMANGA";"REAL DE MINAS";"AVENIDA LOS SAMANES No. 9-65";7,104526;-73,122915;2
"CALI";"CARRERA PRIMERA";"CARRERA 1 No. 41-13";3,4686189;-76,5117615;2
"IBAGUE";"AMBALA";"CALLE 11 Nº 4-44";4,444676;-75,242438;2
"IBAGUE";"IBAGUE";"CALLE 13 No. 2-38";4,442469;-75,2402796;2
"IBAGUE";"PARQUE MURILLO";"CALLE 11 No. 3A-08";4,4446387;-75,2412891;2
"PEREIRA";"DOS QUEBRADAS";"CARRERA 16 No. 32-56 LOCAL 16 CENTRO COMERCIAL LOS MOLINOS";4,8075969;-75,6891837;2
"PLANETA RICA";"PLANETA RICA";"CALLE 20 No. 9-38";8,4126946;-75,5840285;2
"PLATO";"PLATO";"CALLE 6 No. 15-102";9,7878328;-74,7849541;2
"PUERTO BOYACA";"PUERTO BOYACA";"CARRERA 3 No. 11-85";5,977237;-74,593395;2
"SANTA FE DE ANTIOQUIA";"EXTENSIÓN DE OFICINA SANTA FE DE ANTIOQUIA";"CALLE 9 No. 8-48";6,557179;-75,827129;2
"ALBANIA";"AGENCIA ALBANIA";"PLAZA PRINCIPAL DE ALBANIA";11,160651;-72,591907;1
"ALBANIA";"ALBANIA";"CARRERA 12 CALLE 7 Y 8 AVENIDA FERROCARRIL";11,160651;-72,591907;1
"BOGOTA";"CENTRO MAYOR";"TRASNVERSAL 35 No 38 A- 20 SUR Local LM 05 - 06 2 Piso - Centro
Comercial Centro Mayor";4,5921286;-74,1238635;1
"BOGOTA";"CENTRO COMERCIAL DIVERPLAZA";"CALLE 71B NO. 100 – 11 LOCALES 107, 107A";4,7024806;-74,1174194;1
"BOGOTA";"KENNEDY CENTRAL";"CARRERA 78B No. 26-24 SUR";4,6243511;-74,1487657;1
"BOGOTA";"AVENIDA EL DORADO";"CALLE 26 No. 59-41 EDIFICIO CAMARA COLOMBIANA DE INFRAESTRUCTURA LOCALES 2,3";4,6461943;-74,0996413;1
"BOGOTA";"MINIBANCO FRIGORIFICO GUADALUPE";"AUTOPISTA SUR No. 66-78 LOCAL D17";4,5951944;-74,151122;1
"BUCARAMANGA";"BUCARAMANGA";"CALLE 35 No. 18-02";7,119413;-73,1242627;1
"BUCARAMANGA";"EXT. DE CAJA GOBERNACIÓN DE SANTANDER";"CALLE 37 No. 10-30";7,1165575;-73,1299663;1
"BUCARAMANGA";"LA TRIADA";"CALLE 34 Nº 19-46 OFICINA 109";7,1206465;-73,1232921;1
"BUCARAMANGA";"PARQUE SANTANDER";"CARRERA 19 No. 36-03";7,1191793;-73,1231094;1
